# STT,Tên hệ thống nguồn              ,Địa chỉ IP/Subnet mask nguồn                ,Tên hệ thống đích               ,Địa chỉ IP/ Subnet mask đích                    ,Dịch vụ (Port)        ,TCP/UDP        ,Mô tả mục đích kết nối                                                                                                                                                      ,Thời gian hết hiệu lực kết nối
1 ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,VASGate Cloud                   ,10.1.230.9 10.1.230.10                          ,21                    ,FTP            ,Kết nối FTP đồng bộ file                                                                                                                                                    ,Lâu dài
28,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,Vùng APP VASONLINE tại HCM      ,10.54.84.66 10.54.84.68 10.54.84.78             ,80 8080               ,HTTP           ,Cân bằng tải và HA vùng APP                                                                                                                                                 ,Lâu dài
29,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,Vùng DB VASONLINE tại HCM       ,10.54.84.72 10.54.84.75 10.54.84.69             ,1521                  ,JDBC           ,Kết nối DB HCM                                                                                                                                                              ,Lâu dài
30,Vùng DMZ VASONLINE tại HCM      ,10.54.80.149 10.54.80.150 10.54.80.152      ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216                ,10009 80 8080 8088    ,HTTP           ,Gửi SMS MT Kết nối API giao dịch Kết nối gửi mail                                                                                                                           ,Lâu dài
31,Vùng DMZ VASONLINE tại HCM      ,10.54.80.149 10.54.80.150 10.54.80.152      ,Vùng DMZ Cloud Private         ,10.0.133.58-60                                  ,80 8080               ,HTTP           ,Cân bằng tải và HA                                                                                                                                                          ,Lâu dài
32,Vùng APP VASONLINE tại HCM      ,10.54.84.66 10.54.84.68 10.54.84.78         ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216                ,80 8080               ,HTTP           ,Cân bằng tải và HA                                                                                                                                                          ,Lâu dài
33,Vùng DB Cloud Private          ,10.0.9.212-215 10.0.9.217                   ,Vùng DB VASONLINE tại HCM       ,10.54.84.72 10.54.84.75 10.54.84.69             ,7809 7810-7839 22 1521,TCP TCP SSH TCP,PORT MANAGER  DINAMIC LIST PORT SSH PORT DB                                                                                                                                 ,Lâu dài
34,Vùng DB VASONLINE tại HCM       ,10.54.84.72 10.54.84.75 10.54.84.69         ,Vùng DB Cloud Private          ,10.0.9.212-215 10.0.9.217                       ,7809 7810-7839 22 1521,TCP TCP SSH TCP,PORT MANAGER  DINAMIC LIST PORT SSH PORT DB                                                                                                                                 ,Lâu dài
35,Polestar TCT                    ,10.1.10.97                                  ,Hệ thống Vasonline Cloud Private,10.0.133.58-60 10.0.9.210-217                   ,31001-31003           ,TCP            ,Giám sát Server                                                                                                                                                             ,Lâu dài
36,CyberArk MDS                    ,10.54.140.33-34                             ,Vùng DB Cloud Private          ,10.0.9.212-215 10.0.9.217                       ,22 1521 3306          ,TCP            ,Quản trị truy cập hệ thống Vasonline                                                                                                                                        ,Lâu dài
37,Polestar                        ,10.1.10.97-99                               ,Hệ thống Vasonline Cloud Private,10.0.133.58-60 10.0.9.210-217                   ,31001-31003           ,TCP            ,Kết nối giám sát hệ thống                                                                                                                                                   ,Lâu dài
38,Hệ thống Vasonline Cloud Private,10.0.133.58-60 10.0.9.210-217               ,Polestar                        ,10.1.10.97-99                                   ,31001-31003           ,TCP            ,Kết nối giám sát hệ thống                                                                                                                                                   ,Lâu dài
39,Backup tập trung                ,10.3.20.202 10.1.12.19-23                   ,Hệ thống Vasonline Cloud Private,10.0.133.58-60 10.0.9.210-217                   ,8400-8403             ,TCP            ,Kết nối giữa Commserv và Client                                                                                                                                             ,Lâu dài
40,Hệ thống Vasonline Cloud Private,10.0.133.58-60 10.0.9.210-217               ,Backup tập trung                ,10.3.20.202 10.1.12.19-23                       ,8400-8403             ,TCP            ,Kết nối giữa Commserv và Client                                                                                                                                             ,Lâu dài
41,Hệ thống Vasonline Cloud Private,10.0.133.58-60 10.0.9.210-217               ,SIEM                            ,10.1.7.226 10.3.7.234 10.3.7.216                ,443 514               ,TCP            ,Kết nối hệ thống SIEM                                                                                                                                                       ,Lâu dài
42,CSKH TT                         ,10.54.15.5-10.54.15.7                       ,Hệ thống Vasonline Cloud Private,10.0.133.58-60 10.0.9.210-217                   ,80 443 7777 8000      ,TCP            ,Quản trị CSKH                                                                                                                                                               ,Lâu dài
43,CyberArk TCT                    ,10.3.28.37-38 10.3.28.41-44 10.1.184.137-140,Hệ thống Vasonline Cloud Private,10.0.133.58-60 10.0.9.210-217                   ,22 3389 80 443        ,HTTP TCP       ,Quản trị truy cập từ xa                                                                                                                                                     ,Lâu dài
44,Hệ thống Vasonline Cloud Private,10.0.133.58-60 10.0.9.210-217               ,Proxy Internet                  ,10.39.152.30                                    ,3128                  ,TCP            ,Kết nối internet qua proxy server                                                                                                                                           ,90 ngày
45,PC quản trị                     ,10.151.181.202-203                          ,Hệ thống Vasonline Cloud Private,10.0.133.58-60 10.0.9.210-217                   ,80 443                ,               ,Truy nhập và cài đặt trong quá trình triển khai cắt chuyển và theo dõi hệ thống sau khi cắt chuyển                                                                          ,Lâu dài
